iid,nodes,edges,best_score
39166,11,10,4
39875,11,10,4
42486,11,10,4
59677,11,10,3
61639,11,12,3
62430,11,10,3
62511,11,10,4
65020,11,12,4
65651,11,10,4
66442,11,19,3
66951,11,10,4
67758,11,10,4
59805,12,11,3
59813,12,11,3
59927,12,11,3
59980,12,11,3
59989,12,11,3
60110,12,11,3
60155,12,11,5
61160,12,11,4
65580,12,12,4
65622,12,13,4
66003,12,25,3
66690,12,11,4
66875,12,28,3
66970,12,11,3
67398,12,11,4
67413,12,12,4
67417,12,18,3
80239,12,11,4
80403,12,11,4
80513,12,11,5
81282,12,13,4
82403,12,12,4
82418,12,14,4
82485,12,13,4
82607,12,14,4
82613,12,12,4
82857,12,12,4
83788,12,12,4
83796,12,12,4
83801,12,12,4
83910,12,11,5
84089,12,19,3
84560,12,16,3
84627,12,13,4
84640,12,11,4
84648,12,11,4
84689,12,11,4
68320,12,14,3
69563,12,17,4
69962,12,11,5
69971,12,11,5
69983,12,11,5
70264,12,11,5
70344,12,13,3
71237,12,12,3
71950,12,14,4
73451,12,14,4
73507,12,14,4
73708,12,14,4
74529,12,14,4
75060,12,11,4
75102,12,11,4
75105,12,11,3
75113,12,11,4
75230,12,11,3
80100,12,11,4
80159,12,11,5
46392,12,11,4
46872,12,11,4
47815,12,14,4
49060,12,11,5
49365,12,11,4
50140,12,14,4
50685,12,11,5
51733,12,12,4
53137,12,13,4
53317,12,12,5
53599,12,12,4
53760,12,12,5
53884,12,13,4
54164,12,13,4
54462,12,11,4
54685,12,12,4
54839,12,13,4
54902,12,12,5
55623,12,11,4
55644,12,12,4
55817,12,11,5
56741,12,12,4
56900,12,13,4
58125,12,13,4
58363,12,13,4
58397,12,12,4
58616,12,12,5
58762,12,14,4
58865,12,14,4
58936,12,13,3
1904,12,20,3
1905,12,24,3
12358,12,11,5
12457,12,13,4
13871,12,12,4
13990,12,11,4
14255,12,11,5
14952,12,12,4
15461,12,11,4
15733,12,12,4
15823,12,12,4
16366,12,11,4
16795,12,11,4
16861,12,11,4
17097,12,12,4
17276,12,11,4
35620,12,13,4
35626,12,12,5
36431,12,13,5
36894,12,11,5
36903,12,11,5
36911,12,11,4
37519,12,11,4
37529,12,12,4
39776,12,11,5
40662,12,11,4
41060,12,12,4
41597,12,11,4
43210,12,19,3
18516,12,17,4
18996,12,11,3
19405,12,14,4
20481,12,14,4
20528,12,14,4
20642,12,15,3
20724,12,14,4
20796,12,14,4
20868,12,14,4
20905,12,14,4
20990,12,14,4
21029,12,14,4
21104,12,14,4
21125,12,14,4
21141,12,12,4
21143,12,12,4
21531,12,11,4
22255,12,11,5
22501,12,12,4
22548,12,11,5
22624,12,11,5
22757,12,12,5
22758,12,11,5
22764,12,11,5
23912,12,15,4
24804,12,12,4
24823,12,13,4
25124,12,12,4
25189,12,14,4
25500,12,14,4
25502,12,14,4
25552,12,12,4
25553,12,14,4
25556,12,12,4
25569,12,14,4
25580,12,12,4
25584,12,12,4
25606,12,14,4
25613,12,13,4
25622,12,14,4
25627,12,14,4
25694,12,11,5
26232,12,11,5
26551,12,11,4
27353,12,11,4
28051,12,11,5
28243,12,11,4
28356,12,11,4
28405,12,11,6
28540,12,11,5
28571,12,11,4
28698,12,12,5
28939,12,12,4
28944,12,12,5
29122,12,12,4
29126,12,11,4
30073,12,11,5
30102,12,11,4
30114,12,11,4
33873,12,11,5
27952,13,12,5
28248,13,12,5
28422,13,12,5
28497,13,12,5
28514,13,12,5
28583,13,12,5
28615,13,12,4
28627,13,12,5
28640,13,12,4
28938,13,12,4
28947,13,13,4
28949,13,12,4
29117,13,14,4
29176,13,12,6
29921,13,12,5
30088,13,13,5
30098,13,13,4
30104,13,12,5
30111,13,12,5
30125,13,13,5
30127,13,12,5
53380,13,15,5
54013,13,14,5
54015,13,12,5
54752,13,14,5
54835,13,14,5
55348,13,12,5
55552,13,12,5
58538,13,14,4
67971,13,15,3
68214,13,25,3
68495,13,14,3
68650,13,12,5
68890,13,12,5
69259,13,12,3
69846,13,12,6
69886,13,12,4
69944,13,12,6
69953,13,12,6
69965,13,12,6
69980,13,12,6
69991,13,12,6
70789,13,12,5
70828,13,15,5
71074,13,12,4
71810,13,12,6
71862,13,13,5
71912,13,13,5
72011,13,12,5
72425,13,18,3
74630,13,13,4
74989,13,12,3
75212,13,12,3
59822,13,12,3
59925,13,12,3
60030,13,12,3
60115,13,12,3
62242,13,12,3
62268,13,12,5
62353,13,12,3
62425,13,12,5
63682,13,13,6
65047,13,30,3
65641,13,13,5
65654,13,13,4
65784,13,17,3
66388,13,21,3
66486,13,30,4
66506,13,34,3
66620,13,23,3
66840,13,12,5
67127,13,12,4
67199,13,18,3
67357,13,14,5
67396,13,13,5
67626,13,14,3
80384,13,12,5
81279,13,13,4
81295,13,13,4
81300,13,13,4
81306,13,13,4
82331,13,16,5
82963,13,12,6
82996,13,13,5
83149,13,13,5
83254,13,12,5
83785,13,13,4
83804,13,12,4
83833,13,14,3
84642,13,13,4
84663,13,15,4
84696,13,13,4
85664,13,12,5
45933,13,12,5
48482,13,12,5
48982,13,12,5
51653,13,13,4
19016,13,29,3
20276,13,12,5
20298,13,12,5
20308,13,12,4
20314,13,12,5
20872,13,16,5
20996,13,16,5
21624,13,12,5
21676,13,12,5
21836,13,12,5
21886,13,12,5
22291,13,12,5
22593,13,12,5
24467,13,13,5
24556,13,13,5
24768,13,14,4
24788,13,12,5
24791,13,14,4
24792,13,12,4
24798,13,12,5
25504,13,16,5
25621,13,16,5
25650,13,13,4
13476,13,12,5
13580,13,17,4
14058,13,13,5
14651,13,12,5
14869,13,13,5
15276,13,13,5
15318,13,12,5
15351,13,12,5
15694,13,13,5
15911,13,12,5
16539,13,12,5
16695,13,22,3
16912,13,14,5
35580,13,13,4
35819,13,12,3
36346,13,14,5
36371,13,13,5
36733,13,22,4
36887,13,16,4
36932,13,13,3
36964,13,22,3
37255,13,17,3
37459,13,13,4
40133,13,18,5
35596,14,15,5
35607,14,14,5
36070,14,21,3
36237,14,14,5
36270,14,14,6
36301,14,14,6
36373,14,14,5
36433,14,17,6
36443,14,13,7
36844,14,13,5
36898,14,15,4
36978,14,14,5
37546,14,13,6
38323,14,13,3
39493,14,13,5
80217,14,13,5
80383,14,18,5
80428,14,15,5
80626,14,13,5
82795,14,13,5
82796,14,13,5
83776,14,14,4
83800,14,13,5
84136,14,19,3
84238,14,13,4
84652,14,13,6
84680,14,15,4
84685,14,14,5
84691,14,15,4
84692,14,14,4
85721,14,15,4
69033,14,16,3
69234,14,14,3
69741,14,16,3
69857,14,13,5
69882,14,13,5
69925,14,13,6
69934,14,13,6
69941,14,13,6
69956,14,13,6
69959,14,13,6
70006,14,13,4
70172,14,22,3
71130,14,14,3
71385,14,15,3
71639,14,15,4
71814,14,15,4
72006,14,14,5
73509,14,15,5
73522,14,16,5
73611,14,14,6
73728,14,13,5
73763,14,13,3
74866,14,13,5
74896,14,13,5
75025,14,13,5
75094,14,13,4
75149,14,13,3
75151,14,13,4
77850,14,13,6
79601,14,13,5
79953,14,14,5
79971,14,13,5
27739,14,13,4
27808,14,13,6
27954,14,13,6
28043,14,14,4
28116,14,13,6
28240,14,13,6
28277,14,14,5
28522,14,13,5
28594,14,13,5
28602,14,14,5
28619,14,14,5
28621,14,13,6
28683,14,13,5
30084,14,13,5
30099,14,13,6
52129,14,15,6
52489,14,16,6
53547,14,14,5
54026,14,15,6
54068,14,16,6
54112,14,16,4
54169,14,16,6
54212,14,13,5
54624,14,15,6
54653,14,15,6
54735,14,16,4
54756,14,16,4
54921,14,16,4
55405,14,14,5
55489,14,13,5
55875,14,14,6
57113,14,16,4
57610,14,15,5
57887,14,15,6
57924,14,16,4
57945,14,16,4
58084,14,15,6
58174,14,15,6
58233,14,16,6
58486,14,16,6
58496,14,15,5
58599,14,15,6
58605,14,16,6
58693,14,16,6
58746,14,15,5
58774,14,16,6
58830,14,15,6
58871,14,15,4
58883,14,16,4
58888,14,16,4
58909,14,15,4
58925,14,16,4
58993,14,15,4
59002,14,15,4
59019,14,15,4
59803,14,13,3
60186,14,13,3
62194,14,13,3
62347,14,13,3
63245,14,32,3
63771,14,13,5
63862,14,15,5
64059,14,24,4
64147,14,31,4
64308,14,31,4
64760,14,13,5
64871,14,23,4
64878,14,21,4
65534,14,15,5
65647,14,15,4
65834,14,20,4
66005,14,27,4
66966,14,13,3
67042,14,13,3
67148,14,13,3
67632,14,19,3
13097,14,14,6
13609,14,13,5
13717,14,15,5
14149,14,13,5
14269,14,15,5
14352,14,15,5
14639,14,13,5
14913,14,13,5
15128,14,13,5
15270,14,14,5
15425,14,15,5
15575,14,13,5
15639,14,13,5
15921,14,17,5
16024,14,15,6
16510,14,14,5
16554,14,13,5
16904,14,14,5
16906,14,14,5
16917,14,13,5
17280,14,14,5
44907,14,13,6
45992,14,14,5
46936,14,14,5
48127,14,13,5
49380,14,16,4
49508,14,14,5
20271,14,16,4
20282,14,15,5
20294,14,17,5
20472,14,16,5
20732,14,17,5
20759,14,17,5
20901,14,15,5
21022,14,15,5
21073,14,16,5
21381,14,13,5
21536,14,15,5
21987,14,13,4
22528,14,14,5
22592,14,13,5
22661,14,13,6
22685,14,13,5
22741,14,13,5
22789,14,14,5
24784,14,15,4
24800,14,13,5
20310,15,15,4
21257,15,14,6
21685,15,14,6
21742,15,14,5
21883,15,14,6
22321,15,15,5
22405,15,15,5
22587,15,14,6
22620,15,14,6
24726,15,15,5
24780,15,15,6
25887,15,14,5
52036,15,16,5
53128,15,14,5
54023,15,14,7
55428,15,14,5
55494,15,14,5
55548,15,15,5
55600,15,14,7
57667,15,17,5
58546,15,17,5
59118,15,14,6
68260,15,23,3
68420,15,15,5
69255,15,14,5
69469,15,14,5
69855,15,14,6
69860,15,14,5
69863,15,14,7
69866,15,14,6
69876,15,14,6
69928,15,14,7
69947,15,14,6
69950,15,14,6
69968,15,14,6
69982,15,18,4
70679,15,17,4
71618,15,14,5
71700,15,21,3
71824,15,15,6
71902,15,15,5
72289,15,22,3
75067,15,14,3
75217,15,14,6
78290,15,14,5
78984,15,14,6
35613,15,15,4
36309,15,15,6
36375,15,15,6
36424,15,14,6
36465,15,14,7
37451,15,16,5
37508,15,15,5
37525,15,14,4
40580,15,15,5
40754,15,14,5
43359,15,15,4
80508,15,15,5
80631,15,14,6
80957,15,14,3
81076,15,14,3
81302,15,15,4
83238,15,14,5
83413,15,20,4
83767,15,15,5
83798,15,14,6
83805,15,15,6
84113,15,22,4
84634,15,15,4
84637,15,15,5
84643,15,16,6
84647,15,15,5
84668,15,15,5
84682,15,16,5
84684,15,15,5
84686,15,16,5
84688,15,16,5
84700,15,16,4
85054,15,14,5
85299,15,14,5
85617,15,14,6
85738,15,16,5
85751,15,14,5
27666,15,14,5
28146,15,14,6
28483,15,14,5
28559,15,14,5
28916,15,14,4
28951,15,17,5
29130,15,15,5
29193,15,42,3
30085,15,15,5
30101,15,15,5
30109,15,15,5
30115,15,14,6
34469,15,16,3
44814,15,44,3
45220,15,14,6
49113,15,14,6
49460,15,14,3
59875,15,14,4
59978,15,32,3
61899,15,26,4
62239,15,14,3
62931,15,36,4
62957,15,15,3
63452,15,14,5
65384,15,29,4
65556,15,35,4
65607,15,15,5
66747,15,20,3
66783,15,28,3
66788,15,28,3
67121,15,14,3
67404,15,14,4
67554,15,14,5
1886,15,22,4
1887,15,30,4
12430,15,15,5
13467,15,14,5
13939,15,14,6
14025,15,14,5
14802,15,14,5
14867,15,14,6
15029,15,14,6
15188,15,15,5
15217,15,15,5
15513,15,14,5
15656,15,14,6
16430,15,18,4
17134,15,18,5
17176,15,15,5
101,16,58,2
1973,16,32,4
12432,16,16,5
12583,16,15,6
12806,16,18,5
12957,16,17,6
13390,16,15,6
13667,16,15,6
14073,16,15,6
14139,16,15,6
14430,16,16,5
14994,16,15,6
15559,16,17,5
16275,16,15,6
16388,16,16,6
16692,16,15,6
80533,16,15,6
80582,16,17,5
80660,16,15,6
81700,16,29,3
82393,16,19,6
82397,16,19,6
82479,16,19,6
82509,16,17,6
82514,16,19,5
82535,16,19,6
82538,16,19,6
82551,16,18,5
83333,16,15,6
83335,16,15,7
83915,16,16,5
84119,16,17,3
84632,16,18,5
84687,16,17,4
84695,16,16,6
84793,16,28,5
84826,16,35,3
85630,16,19,5
85750,16,15,5
68348,16,26,3
68843,16,15,6
68925,16,15,6
69313,16,17,3
69562,16,15,6
69830,16,17,4
69869,16,15,7
69872,16,15,7
69904,16,15,7
69922,16,15,6
69931,16,15,6
69938,16,15,7
69975,16,22,3
70627,16,27,3
70837,16,15,6
70967,16,35,3
71072,16,15,6
71207,16,17,4
71488,16,16,3
71619,16,16,5
71927,16,15,7
71943,16,15,5
73175,16,19,6
73714,16,19,5
74294,16,19,6
74578,16,19,6
74843,16,15,4
75095,16,16,6
75317,16,19,6
75404,16,19,6
78352,16,16,6
19029,16,18,5
19729,16,18,6
19781,16,18,6
19938,16,19,4
20020,16,19,5
20209,16,18,6
20269,16,15,6
20286,16,16,4
20403,16,18,5
20553,16,19,6
20587,16,19,6
20643,16,19,5
20682,16,19,6
20746,16,20,6
20749,16,18,6
20900,16,20,6
21006,16,18,6
21031,16,19,5
21034,16,19,6
21078,16,19,6
21080,16,17,6
21082,16,18,5
21113,16,19,6
21128,16,18,5
21156,16,20,6
21169,16,16,6
21384,16,15,6
21519,16,15,6
21545,16,15,6
21720,16,15,6
21800,16,15,6
21814,16,15,6
22182,16,15,6
22594,16,15,6
22697,16,16,6
22736,16,16,6
22767,16,16,6
22781,16,16,6
24802,16,15,6
24892,16,15,4
24923,16,16,6
25001,16,18,5
25031,16,18,6
25409,16,19,6
25462,16,19,5
25596,16,19,6
25599,16,20,6
25602,16,18,6
25609,16,19,6
25612,16,19,6
25633,16,18,6
25828,16,15,5
26149,16,16,6
26330,16,15,6
51721,16,16,6
53124,16,15,6
53141,16,16,6
53589,16,15,6
53794,16,18,5
54011,16,16,5
54091,16,17,6
55352,16,17,5
55417,16,15,5
55619,16,15,5
57715,16,17,6
58438,16,15,6
58613,16,17,6
58714,16,18,6
58902,16,18,5
59171,16,15,6
35741,16,61,3
36261,16,16,6
36291,16,16,7
36379,16,16,6
36438,16,16,5
36442,16,15,7
36451,16,16,6
36744,16,19,4
36890,16,25,4
37487,16,17,5
37497,16,16,6
37548,16,15,6
38196,16,18,5
41490,16,15,6
59885,16,15,6
61340,16,17,5
62167,16,38,3
62269,16,15,4
62283,16,16,6
62309,16,15,4
62556,16,28,5
62809,16,39,3
63440,16,51,3
65592,16,17,5
65616,16,16,6
66094,16,37,3
66292,16,31,3
66883,16,22,3
67129,16,15,5
67156,16,15,3
67213,16,18,3
67388,16,17,5
67505,16,34,3
67605,16,21,4
27472,16,15,6
27663,16,15,6
27756,16,15,6
27919,16,15,7
28030,16,16,6
28120,16,15,6
28597,16,16,6
28616,16,16,6
28631,16,16,6
28691,16,16,7
29136,16,17,5
33549,16,28,4
45986,16,15,6
47107,16,16,5
48306,16,19,6
48642,16,19,6
48685,16,19,6
48846,16,19,6
48907,16,19,6
49512,16,19,6
46878,17,16,7
47076,17,18,6
48340,17,17,6
49565,17,21,6
50384,17,16,4
53466,17,16,6
54473,17,17,7
54722,17,19,6
55246,17,16,7
55436,17,16,6
55563,17,20,5
55581,17,16,7
55604,17,16,6
57144,17,19,6
58595,17,19,6
58652,17,19,6
68344,17,31,5
68384,17,20,3
68477,17,16,6
68865,17,29,3
69137,17,16,3
69217,17,16,7
69508,17,23,4
69607,17,39,3
69977,17,16,7
70582,17,17,6
70687,17,25,3
70718,17,26,3
70758,17,19,3
71006,17,22,3
71185,17,21,3
71627,17,18,5
71633,17,16,6
71779,17,17,6
72009,17,17,6
72033,17,17,6
72373,17,21,4
74339,17,17,3
74712,17,17,7
75070,17,16,4
78963,17,16,6
79128,17,18,6
79497,17,16,6
80157,17,16,6
102,17,62,3
11380,17,16,8
12707,17,17,6
14235,17,20,5
14394,17,16,7
14472,17,17,6
14524,17,19,6
14536,17,17,6
14825,17,17,6
14976,17,16,6
15053,17,19,6
15369,17,21,5
15383,17,17,6
15583,17,16,7
15660,17,16,6
15868,17,16,6
16477,17,16,6
16527,17,16,6
16653,17,16,6
16868,17,16,6
80504,17,17,6
80635,17,16,5
81221,17,16,3
81278,17,18,6
81283,17,18,6
82415,17,21,6
82889,17,16,5
82949,17,16,7
83274,17,16,6
83282,17,16,6
83760,17,17,5
83783,17,18,5
83803,17,16,5
84124,17,19,3
84128,17,18,3
84145,17,22,3
84650,17,16,6
84659,17,18,6
84664,17,18,5
84674,17,18,6
84694,17,17,5
84742,17,24,5
85672,17,17,6
19014,17,22,5
19570,17,21,6
20201,17,17,6
20223,17,18,6
20274,17,18,6
20280,17,18,5
20290,17,17,6
20300,17,17,6
21048,17,21,6
21582,17,16,7
22185,17,17,6
22338,17,16,7
22361,17,16,5
22524,17,17,6
22906,17,63,3
24675,17,17,6
24715,17,17,6
24762,17,17,6
24790,17,16,4
24943,17,17,6
25238,17,21,6
25590,17,21,6
25619,17,21,6
26292,17,16,7
26626,17,17,6
26929,17,16,6
27750,17,16,6
28067,17,16,7
28171,17,16,6
28592,17,16,7
28612,17,17,6
28680,17,17,5
28809,17,16,6
28915,17,19,5
28934,17,18,5
28946,17,16,6
28952,17,17,6
29087,17,49,4
29107,17,18,6
34233,17,16,6
35624,17,18,5
35635,17,19,3
36133,17,18,6
36224,17,17,7
36350,17,17,6
36395,17,22,7
36396,17,16,7
36421,17,17,6
36453,17,17,8
36625,17,17,3
36875,17,21,5
36909,17,17,6
37514,17,18,5
39283,17,17,6
40572,17,22,3
43275,17,16,7
60995,17,22,5
62180,17,16,3
63674,17,16,6
64200,17,52,3
64332,17,21,5
64364,17,23,3
64425,17,33,5
65450,17,16,6
65632,17,19,5
65927,17,28,3
66332,17,22,5
66839,17,21,3
66873,17,16,3
66973,17,16,3
67008,17,40,4
67092,17,26,3
67312,17,29,4
67313,17,18,5
67369,17,19,5
67381,17,18,5
67579,17,41,3
60037,18,18,7
60202,18,78,3
60541,18,22,7
60938,18,40,4
63068,18,21,5
63264,18,17,6
63270,18,62,3
63407,18,25,3
64812,18,34,6
64846,18,39,6
64848,18,35,3
65429,18,31,5
65518,18,46,3
65555,18,19,6
65601,18,19,5
65604,18,19,6
65610,18,20,6
65613,18,19,6
65635,18,20,6
66640,18,40,5
66725,18,19,4
66751,18,23,3
66768,18,17,7
66810,18,22,4
67258,18,37,3
67751,18,33,3
67846,18,20,3
80526,18,17,6
80799,18,17,3
81304,18,19,6
81305,18,19,6
82566,18,19,6
82588,18,22,6
82608,18,22,6
83107,18,18,7
83139,18,17,7
83151,18,17,7
83407,18,18,3
83914,18,19,5
84149,18,17,3
84160,18,45,3
84190,18,37,4
84290,18,39,4
84524,18,25,3
84608,18,20,7
84651,18,19,6
84998,18,17,7
67969,18,23,5
68087,18,32,4
69097,18,19,3
69285,18,25,3
69681,18,32,3
69907,18,17,7
69910,18,17,8
70166,18,28,4
70877,18,26,3
71183,18,18,3
71629,18,17,7
71685,18,21,3
71826,18,19,6
73328,18,22,6
73568,18,18,6
73651,18,17,7
74561,18,22,6
74657,18,17,7
77031,18,17,6
77465,18,17,6
78030,18,17,7
78267,18,17,6
79847,18,18,7
80202,18,17,7
45484,18,17,6
47093,18,17,6
48512,18,20,7
49741,18,17,4
50063,18,17,3
50378,18,17,5
50487,18,17,3
50527,18,17,3
51256,18,20,7
51333,18,17,6
52133,18,22,6
53384,18,20,7
53612,18,20,6
53653,18,20,7
54072,18,19,8
54077,18,20,7
54610,18,19,6
55616,18,17,7
57266,18,29,4
58619,18,20,6
58631,18,20,6
58918,18,20,5
58928,18,20,5
58987,18,21,6
59017,18,20,5
59266,18,21,5
103,18,18,5
1912,18,33,4
1913,18,45,4
12724,18,17,6
13115,18,17,7
14119,18,20,6
14168,18,18,6
14312,18,19,6
14448,18,18,6
14502,18,17,7
14675,18,17,6
14769,18,18,6
15157,18,18,6
15459,18,18,6
15641,18,18,6
15929,18,17,7
16162,18,17,6
16320,18,20,6
16576,18,17,8
16714,18,36,4
17238,18,17,7
35590,18,19,7
35602,18,19,6
35614,18,17,8
35616,18,17,6
35898,18,17,9
36235,18,18,6
36254,18,18,8
36415,18,18,7
36430,18,18,7
36449,18,18,7
37491,18,19,5
37505,18,19,5
37517,18,19,6
37533,18,18,6
37537,18,19,6
37585,18,26,3
37664,18,28,4
37885,18,20,7
39362,18,25,5
20256,18,17,6
20501,18,22,6
20620,18,21,6
20771,18,21,6
21041,18,21,6
21093,18,19,6
21362,18,17,7
21732,18,18,7
21984,18,17,7
22562,18,17,7
22585,18,17,6
24625,18,18,6
24712,18,18,7
24743,18,20,6
24748,18,18,6
24766,18,18,6
25582,18,20,6
26973,18,18,6
27820,18,17,6
28053,18,17,6
28154,18,17,7
28279,18,18,7
28518,18,17,8
28566,18,18,7
28568,18,17,7
28678,18,17,8
28690,18,20,5
28705,18,20,6
28940,18,18,6
29102,18,19,7
29123,18,19,7
30106,18,17,7
34081,18,18,6
26926,19,20,6
27169,19,19,6
27232,19,20,7
27282,19,19,7
27692,19,18,7
27883,19,18,7
28004,19,18,8
28204,19,19,7
28326,19,19,7
28548,19,19,7
28696,19,20,6
28945,19,19,5
29093,19,20,7
29113,19,20,6
29125,19,19,5
29905,19,19,7
29911,19,19,7
30105,19,18,7
30194,19,18,8
52853,19,27,3
53388,19,19,7
54198,19,20,6
54302,19,18,7
54466,19,18,7
54924,19,21,6
55522,19,19,7
55595,19,18,7
57607,19,22,6
58082,19,20,7
58385,19,18,7
58523,19,21,6
58587,19,21,7
58641,19,71,3
58695,19,18,7
58792,19,21,7
59109,19,19,6
68249,19,55,4
68270,19,29,4
68311,19,18,7
68314,19,39,4
68393,19,41,4
69103,19,33,3
69671,19,26,4
69902,19,28,3
70052,19,35,3
70262,19,27,5
70890,19,25,3
70977,19,18,4
71367,19,18,7
71386,19,20,6
71931,19,18,7
73165,19,36,4
73493,19,19,8
79426,19,18,7
59944,19,18,6
59961,19,18,3
59967,19,18,3
60182,19,18,4
60669,19,20,6
61009,19,19,5
61031,19,19,5
61753,19,18,6
62036,19,18,3
62106,19,24,3
63114,19,18,7
65164,19,22,3
65251,19,32,5
65368,19,28,3
65574,19,20,7
65988,19,18,7
66226,19,30,3
66694,19,19,7
66997,19,18,3
67045,19,18,4
67809,19,32,3
80328,19,19,7
80452,19,20,7
80490,19,41,4
80581,19,18,7
81035,19,18,3
81070,19,18,3
81206,19,18,3
81235,19,18,3
81269,19,20,7
81299,19,20,6
82763,19,18,7
83039,19,20,7
83095,19,19,6
83272,19,18,8
83325,19,18,7
83757,19,21,6
83765,19,20,6
83769,19,22,5
83784,19,21,7
83789,19,20,6
83941,19,54,3
84144,19,34,3
84610,19,20,6
84624,19,20,6
84644,19,19,5
84646,19,19,6
84655,19,20,5
84678,19,20,7
84679,19,18,7
84681,19,20,6
84736,19,45,4
84959,19,18,7
85675,19,20,6
45487,19,18,7
49192,19,18,3
50988,19,19,6
20230,19,20,6
20261,19,20,7
20312,19,19,6
20695,19,24,7
